fips,total_8_hour_outages,n_years_available,avg_customers_out,avg_customer_time_std,tot_po_yr
18183,0,1,17475,1,31
19007,0,1,1430,0,1
19013,2,1,110478,2,38
19023,0,2,10501,1,44
19033,2,2,79754,3,60
19041,1,1,9126,1,21
19043,0,2,16564,2,46
19045,2,1,64530,3,73
19047,0,2,4951,1,18
19051,1,1,10696,3,73
19055,2,1,23114,3,46
19057,1,3,30809,1,63
19059,1,1,41032,4,36
19061,2,1,99370,2,38
19067,3,1,31135,4,65
19071,1,3,13047,3,41
19073,5,1,72555,14,50
19077,0,1,637,0,1
19081,1,1,24443,4,40
19083,6,1,107858,11,44
19085,1,1,17187,2,41
19095,2,1,38741,4,76
19097,1,1,21613,2,40
19103,2,1,145776,2,63
19105,2,1,16802,2,59
19109,1,2,15830,2,38
19111,1,3,50005,3,56
19113,0,2,134894,1,59
19119,1,1,1226,0,4
19123,2,2,22568,2,42
19127,6,1,2060221,104,70
19129,1,3,30414,4,61
19137,1,3,10314,2,44
19139,1,2,35436,2,30
19141,0,2,7633,1,30
19143,1,1,739,0,1
19145,2,1,18796,2,35
19147,0,3,9504,2,38
19151,0,1,222,0,1
19155,1,3,98423,2,63
19163,2,3,1303303,15,62
19165,0,1,12447,2,52
19167,1,3,28096,2,33
19169,7,1,768779,16,30
19171,2,1,512814,60,57
19181,1,1,90337,4,49
19183,3,1,59159,5,48
19185,0,3,5239,2,55
19191,1,1,22560,2,45
19193,0,1,55858,1,50
19195,2,3,35327,9,54
20001,0,2,5756,1,38
20003,1,1,2550,1,8
20005,2,2,22466,3,44
20007,0,2,1269,0,7
20009,2,3,46927,3,34
20011,2,2,30434,4,57
20015,2,2,57014,2,51
20017,0,3,158,0,13
20031,3,1,14911,3,49
20037,0,2,26385,1,50
20045,4,2,157276,3,53
20051,1,3,47565,3,29
20059,12,1,109007,8,83
20061,0,3,11858,1,32
20063,0,3,112,0,0
20065,0,3,152,0,1
20071,0,3,15,0,1
20075,0,3,47,0,4
20079,2,2,27188,2,46
20083,0,3,153,0,2
20085,3,2,16862,2,30
20087,2,2,34082,3,47
